Back,Terug
Delete,Skrap
"Are you sure you want to do this?","Is jy seker jy wil dit doen?"
"Save and Continue Edit","Stoor en gaan voort met wysiging"
Save,Stoor
ID,ID
Email,E-pos
Name,Naam
Company,Maatskappy
Conditions,Voorwaardes
"Apply the rule only if the following conditions are met (leave blank for all products).","Pas die reël slegs toe indien aan die volgende voorwaardes voldoen word (laat leeg vir alle produkte)."
"Add Custom License","Voeg pasgemaakte lisensie by"
"-- Please Select --","-- Kies asseblief --"
"Unable to fetch previous categories.","Kan nie vorige kategorieë haal nie."
AM,AM
PM,NM
None,Geen
"You deleted the record.","Jy het die rekord uitgevee."
"Record does not exist.","Rekord bestaan nie."
"This record no longer exists.","Hierdie rekord bestaan nie meer nie."
"Category Edit","Kategorie wysig"
Category,Kategorie
"Please correct the data sent.","Korrigeer asseblief die data wat gestuur is."
"There was an error saving the data: ","Daar was 'n fout met die stoor van die data: "
"A total of %1 record(s) have been deleted.","Altesaam %1 rekord(s) is geskrap."
"You saved this record.","U het hierdie rekord gestoor."
"Something went wrong while saving the record.","Iets het verkeerd geloop terwyl hy die rekord gestoor het."
"Category Identifier","Kategorie Identifiseerder"
"To apply changes you should fill in required ""%1"" field","Om veranderinge toe te pas, moet u die vereiste ""%1"" -veld invul"
"Size Edit","Grootte wysig"
Size,Grootte
"Size Identifier","Grootte identifiseerder"
"Usage Edit","Gebruik wysig"
Usage,Gebruik
"Usage Identifier","Gebruik identifiseerder"
"Could not save the category: %1","Kon nie die kategorie stoor nie: %1"
"Category with id ""%1"" does not exist.","Kategorie met id ""%1"" bestaan nie."
"Could not delete the Category: %1","Kon nie die kategorie uitvee nie: %1"
"Could not save the size: %1","Kon nie die grootte stoor nie: %1"
"Size with id ""%1"" does not exist.","Grootte met id ""%1"" bestaan nie."
"Could not delete the Size: %1","Kon nie die grootte uitvee nie: %1"
"The option type to get group instance is incorrect.","Die opsietipe om groepinstansie te kry, is verkeerd."
"Select type options required values rows.","Kies tipe opsies vereiste waardes rye."
"usage_id should be specified","usage_id moet gespesifiseer word"
"Could not remove custom option","Kon nie persoonlike opsie verwyder nie"
"Please specify date required option(s).","Spesifiseer asseblief die datum vereiste opsie (s)."
"Please specify time required option(s).","Spesifiseer asseblief die vereiste opsie (s) vir tyd."
"Please specify product's required option(s).","Spesifiseer asseblief die vereiste opsie (s) van die produk."
"The option instance type in options group is incorrect.","Die opsie instansie tipe in opsie groep is verkeerd."
"The product instance type in options group is incorrect.","Die tipe opsiegroep vir die produkinstansie is verkeerd."
"The configuration item option instance in options group is incorrect.","Die opsie-instansie vir konfigurasie-item in die opsiegroep is verkeerd."
"The configuration item instance in options group is incorrect.","Die konfigurasie-iteminstansie in opsiegroep is verkeerd."
"The BuyRequest instance in options group is incorrect.","Die BuyRequest-instansie in opsiegroep is verkeerd."
"We can't add the product to the cart because of an option validation issue.","Ons kan nie die produk in die mandjie voeg nie as gevolg van 'n opsievalideringskwessie."
