Back,ظهر
Delete,حذف
"Are you sure you want to do this?","هل أنت متأكد من أنك تريد القيام بذلك؟"
"Save and Continue Edit","حفظ ومتابعة التحرير"
Save,أنقذ
ID,معرف
Email,"البريد الإلكتروني"
Name,اسم
Company,شركة
Conditions,شروط
"Apply the rule only if the following conditions are met (leave blank for all products).","قم بتطبيق القاعدة فقط في حالة استيفاء الشروط التالية (اتركها فارغة لجميع المنتجات)."
"Add Custom License","إضافة ترخيص مخصص"
"-- Please Select --","-- الرجاء الإختيار --"
"Unable to fetch previous categories.","غير قادر على جلب الفئات السابقة."
AM,ص
PM,م
None,اي
"You deleted the record.","حذف السجل."
"Record does not exist.","السجل غير موجود."
"This record no longer exists.","هذا السجل لم يعد موجودا."
"Category Edit","تحرير الفئة"
Category,باب
"Please correct the data sent.","يرجى تصحيح البيانات المرسلة."
"There was an error saving the data: ","حدث خطأ أثناء حفظ البيانات: "
"A total of %1 record(s) have been deleted.","تم حذف إجمالي ٪1 سجل (سجلات)."
"You saved this record.","قمت بحفظ هذا السجل."
"Something went wrong while saving the record.","حدث خطأ ما أثناء حفظ السجل."
"Category Identifier","معرف الفئة"
"To apply changes you should fill in required ""%1"" field","لتطبيق التغييرات ، يجب عليك ملء الحقل ""٪1"" المطلوب"
"Size Edit","تحرير الحجم"
Size,حجم
"Size Identifier","معرف الحجم"
"Usage Edit","تحرير الاستخدام"
Usage,استخدام
"Usage Identifier","معرف الاستخدام"
"Could not save the category: %1","تعذر حفظ الفئة: ٪1"
"Category with id ""%1"" does not exist.","الفئة ذات المعرف ""٪ 1"" غير موجودة."
"Could not delete the Category: %1","تعذر حذف الفئة: ٪1"
"Could not save the size: %1","تعذر حفظ الحجم: ٪1"
"Size with id ""%1"" does not exist.","الحجم مع المعرف ""٪ 1"" غير موجود."
"Could not delete the Size: %1","تعذر حذف الحجم: ٪1"
"The option type to get group instance is incorrect.","نوع الخيار للحصول على مثيل المجموعة غير صحيح."
"Select type options required values rows.","حدد خيارات النوع صفوف القيم المطلوبة."
"usage_id should be specified","يجب تحديد usage_id"
"Could not remove custom option","تعذر إزالة الخيار المخصص"
"Please specify date required option(s).","يرجى تحديد الخيار (الخيارات) المطلوبة للتاريخ."
"Please specify time required option(s).","يرجى تحديد الوقت المطلوب (الخيارات الاختيارية)."
"Please specify product's required option(s).","يرجى تحديد الخيار (الخيارات) المطلوبة للمنتج."
