Back,Zurück
Delete,Löschen
"Are you sure you want to do this?","Sind Sie sicher, dass Sie das tun wollen?"
"Save and Continue Edit","Speichern und weiter bearbeiten"
Save,"Speichern Sie"
ID,ID
Email,E-Mail
Name,Name
Company,Unternehmen
Conditions,Bedingungen
"Apply the rule only if the following conditions are met (leave blank for all products).","Wenden Sie die Regel nur an, wenn die folgenden Bedingungen erfüllt sind (für alle Produkte leer lassen)."
"Add Custom License","Benutzerdefinierte Lizenz hinzufügen"
"-- Please Select --","-- Bitte wählen Sie --"
"Unable to fetch previous categories.","Frühere Kategorien können nicht abgerufen werden."
AM,AM
PM,PM
None,Keine
"You deleted the record.","Sie haben den Datensatz gelöscht."
"Record does not exist.","Der Datensatz existiert nicht."
"This record no longer exists.","Dieser Eintrag existiert nicht mehr."
"Category Edit","Kategorie Bearbeiten"
Category,Kategorie
"Please correct the data sent.","Bitte korrigieren Sie die gesendeten Daten."
"There was an error saving the data: ","Es ist ein Fehler beim Speichern der Daten aufgetreten: "
"A total of %1 record(s) have been deleted.","Es wurden insgesamt %1 Datensatz(e) gelöscht."
"You saved this record.","Sie haben diesen Datensatz gespeichert."
"Something went wrong while saving the record.","Beim Speichern des Datensatzes ist etwas schief gegangen."
"Category Identifier","Kennung der Kategorie"
"To apply changes you should fill in required ""%1"" field","Um die Änderungen zu übernehmen, müssen Sie das erforderliche Feld ""%1"" ausfüllen"
"Size Edit","Größe bearbeiten"
Size,Größe
"Size Identifier","Größe Bezeichner"
"Usage Edit","Verwendung Bearbeiten"
Usage,Verwendung
"Usage Identifier",Verwendungskennzeichen
"Could not save the category: %1","Die Kategorie konnte nicht gespeichert werden: %1"
"Category with id ""%1"" does not exist.","Die Kategorie mit der ID ""%1"" existiert nicht."
"Could not delete the Category: %1","Die Kategorie: %1 konnte nicht gelöscht werden"
"Could not save the size: %1","Konnte die Größe nicht speichern: %1"
"Size with id ""%1"" does not exist.","Die Größe mit der ID ""%1"" existiert nicht."
"Could not delete the Size: %1","Konnte die Größe nicht löschen: %1"
"The option type to get group instance is incorrect.","Der Optionstyp zum Abrufen der Gruppeninstanz ist falsch."
"Select type options required values rows.","Wählen Sie Typ Optionen erforderliche Werte Zeilen."
"usage_id should be specified","usage_id sollte angegeben werden"
"Could not remove custom option","Benutzerdefinierte Option kann nicht entfernt werden"
"Please specify date required option(s).","Bitte geben Sie das Datum der gewünschten Option(en) an."
"Please specify time required option(s).","Bitte geben Sie die gewünschte(n) Zeitoption(en) an."
"Please specify product's required option(s).","Bitte geben Sie die gewünschte(n) Option(en) des Produkts an."
"The option instance type in options group is incorrect.","Der Typ der Optionsinstanz in der Optionsgruppe ist falsch."
"The product instance type in options group is incorrect.","Der Produktinstanztyp in der Optionsgruppe ist falsch."
"The configuration item option instance in options group is incorrect.","Die Instanz der Konfigurationsoption in der Optionsgruppe ist falsch."
"The configuration item instance in options group is incorrect.","Die Instanz des Konfigurationselements in der Optionsgruppe ist falsch."
