Back,Volver
Delete,Borrar
"Are you sure you want to do this?","¿Seguro que quieres hacerlo?"
"Save and Continue Edit","Guardar y continuar editando"
Save,Guardar
ID,ID
Email,"Correo electrónico"
Name,Nombre
Company,Empresa
Conditions,Condiciones
"Apply the rule only if the following conditions are met (leave blank for all products).","Aplique la regla sólo si se cumplen las siguientes condiciones (déjelo en blanco para todos los productos)."
"Add Custom License","Añadir licencia personalizada"
"-- Please Select --","-- Por favor, seleccione --"
"Unable to fetch previous categories.","No se pueden recuperar las categorías anteriores."
AM,AM
PM,PM
None,Ninguno
"You deleted the record.","Has borrado el disco."
"Record does not exist.","El registro no existe."
"This record no longer exists.","Este registro ya no existe."
"Category Edit","Categoría Editar"
Category,Categoría
"Please correct the data sent.","Por favor, corrija los datos enviados."
"There was an error saving the data: ","Se ha producido un error al guardar los datos: "
"A total of %1 record(s) have been deleted.","Se han eliminado un total de %1 registro(s)."
"You saved this record.","Has guardado este disco."
"Something went wrong while saving the record.","Algo ha ido mal al guardar el disco."
"Category Identifier","Identificador de categoría"
"To apply changes you should fill in required ""%1"" field","Para aplicar los cambios debe rellenar el campo obligatorio ""%1"""
"Size Edit","Tamaño Editar"
Size,Talla
"Size Identifier","Identificador de tamaño"
"Usage Edit","Uso Editar"
Usage,Utilización
"Usage Identifier","Identificador de uso"
"Could not save the category: %1","No se ha podido guardar la categoría: %1"
"Category with id ""%1"" does not exist.","La categoría con id ""%1"" no existe."
"Could not delete the Category: %1","No se ha podido eliminar la Categoría: %1"
"Could not save the size: %1","No se ha podido guardar el tamaño: %1"
"Size with id ""%1"" does not exist.","El tamaño con id ""%1"" no existe."
"Could not delete the Size: %1","No se ha podido borrar el Tamaño: %1"
"The option type to get group instance is incorrect.","El tipo de opción para obtener la instancia de grupo es incorrecta."
"Select type options required values rows.","Seleccione las opciones de tipo valores requeridos filas."
"usage_id should be specified","debe especificarse usage_id"
"Could not remove custom option","No se ha podido eliminar la opción personalizada"
"Please specify date required option(s).","Especifique la(s) opción(es) deseada(s)."
"Please specify time required option(s).","Especifique la(s) opción(es) requerida(s)."
"Please specify product's required option(s).","Especifique la(s) opción(es) requerida(s) del producto."
"The option instance type in options group is incorrect.","El tipo de instancia de opción en el grupo de opciones es incorrecto."
"The product instance type in options group is incorrect.","El tipo de instancia de producto en el grupo de opciones es incorrecto."
"The configuration item option instance in options group is incorrect.","La instancia de la opción del elemento de configuración en el grupo de opciones es incorrecta."
"The configuration item instance in options group is incorrect.","La instancia del elemento de configuración en el grupo de opciones es incorrecta."
"The BuyRequest instance in options group is incorrect.","La instancia BuyRequest en el grupo de opciones es incorrecta."
"We can't add the product to the cart because of an option validation issue.","No podemos añadir el producto al carrito debido a un problema de validación de opciones."
"%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType","%1 no extiende el modelo de catálogo de productos"
"The file options format is not valid.","El formato de las opciones del archivo no es válido."
px.,px.
"The file '%1' for '%2' has an invalid extension.","El archivo '%1' para '%2' tiene una extensión inválida."
"The maximum allowed image size for '%1' is %2x%3 px.","El tamaño máximo de imagen permitido para '%1' es %2x%3 px."
