Back,بازگشت
Delete,حذف
"Are you sure you want to do this?","آیا مطمئن هستید که می خواهید این کار را انجام دهید؟"
"Save and Continue Edit","ذخیره و ادامه ویرایش"
Save,ذخیره
ID,شناسه
Email,ایمیل
Name,نام
Company,شرکت
Conditions,شرایط
"Apply the rule only if the following conditions are met (leave blank for all products).","این قانون را فقط در صورت رعایت شرایط زیر اعمال کنید (برای همه محصولات خالی بگذارید)."
"Add Custom License","افزودن مجوز سفارشی"
"-- Please Select --","-- لطفا انتخاب کنید --"
"Unable to fetch previous categories.","نمی توان دسته های قبلی را واکشی کرد."
AM,در
PM,Pm
None,"هیچ کدام"
"You deleted the record.","شما رکورد را حذف کردید."
"Record does not exist.","رکورد وجود ندارد."
"This record no longer exists.","این رکورد دیگر وجود ندارد."
"Category Edit","ویرایش دسته بندی"
Category,رده
"Please correct the data sent.","لطفا داده های ارسال شده را تصحیح کنید."
"There was an error saving the data: ","در ذخیره داده ها خطایی رخ داد: "
"A total of %1 record(s) have been deleted.","در مجموع ٪1 رکورد(های) حذف شده است."
"You saved this record.","شما این رکورد را ذخیره کردید."
"Something went wrong while saving the record.","هنگام ذخیره رکورد مشکلی پیش آمد."
"Category Identifier","شناسه دسته بندی"
"To apply changes you should fill in required ""%1"" field","برای اعمال تغییرات باید فیلد مورد نیاز ""٪1"" را پر کنید"
"Size Edit","ویرایش اندازه"
Size,اندازه
"Size Identifier","شناسه اندازه"
"Usage Edit","ویرایش استفاده"
Usage,استفاده
"Usage Identifier","شناسه استفاده"
"Could not save the category: %1","قابل ذخیره دسته بندی نشد: ٪1"
"Category with id ""%1"" does not exist.","دسته با شناسه ""٪1"" وجود ندارد."
"Could not delete the Category: %1","دستهٔ حذف نشد: ٪1"
"Could not save the size: %1","اندازه را ذخیره نکرد: ٪1"
"Size with id ""%1"" does not exist.","اندازه با شناسه ""٪1"" وجود ندارد."
"Could not delete the Size: %1","اندازه حذف نشد: ٪1"
"The option type to get group instance is incorrect.","نوع گزینه برای دریافت نمونه گروه نادرست است."
"Select type options required values rows.","گزینه های نوع ردیف های مقادیر مورد نیاز را انتخاب کنید."
"usage_id should be specified","usage_id باید مشخص شود"
"Could not remove custom option","گزینه سفارشی حذف نشد"
"Please specify date required option(s).","لطفا گزینه (های) تاریخ مورد نیاز را مشخص کنید."
"Please specify time required option(s).","لطفا گزینه (های) زمان مورد نیاز را مشخص کنید."
"Please specify product's required option(s).","لطفا گزینه(های) مورد نیاز محصول را مشخص کنید."
"The option instance type in options group is incorrect.","نوع نمونه گزینه در گروه گزینه ها نادرست است."
"The product instance type in options group is incorrect.","نوع نمونه محصول در گروه گزینه ها نادرست است."
"The configuration item option instance in options group is incorrect.","نمونه گزینه آیتم پیکربندی در گروه گزینه ها نادرست است."
"The configuration item instance in options group is incorrect.","نمونه آیتم پیکربندی در گروه گزینه ها نادرست است."
"The BuyRequest instance in options group is incorrect.","نمونه BuyRequest در گروه گزینه ها نادرست است."
"We can't add the product to the cart because of an option validation issue.","به دلیل مشکل اعتبارسنجی گزینه، نمی توانیم محصول را به سبد خرید اضافه کنیم."
"%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType","٪1 \Magento\Catalog\Model\Product\Option\Type\DefaultType را گسترش نمی دهد"
"The file options format is not valid.","فرمت گزینه های فایل معتبر نیست."
px.,پیکسل.
"The file '%1' for '%2' has an invalid extension.","فایل '٪1' برای '٪2' پسوند نامعتبری دارد."
"The maximum allowed image size for '%1' is %2x%3 px.","حداکثر اندازه تصویر مجاز برای '٪1' ٪2x٪3 پیکسل است."
