Back,Terug
Delete,Verwijder
"Are you sure you want to do this?","Weet je zeker dat je dit wilt doen?"
"Save and Continue Edit","Opslaan en doorgaan met bewerken"
Save,Sla
ID,ID
Email,E-mail
Name,Naam
Company,Bedrijf
Conditions,Voorwaarden
"Apply the rule only if the following conditions are met (leave blank for all products).","Pas de regel alleen toe als aan de volgende voorwaarden wordt voldaan (laat leeg voor alle producten)."
"Add Custom License","Aangepaste licentie toevoegen"
"-- Please Select --","-- Selecteer --"
"Unable to fetch previous categories.","Kan vorige categorieën niet ophalen."
AM,AM
PM,PM
None,Geen
"You deleted the record.","Je hebt het record verwijderd."
"Record does not exist.","Record bestaat niet."
"This record no longer exists.","Dit record bestaat niet meer."
"Category Edit","Categorie Bewerken"
Category,Categorie
"Please correct the data sent.","Corrigeer de verzonden gegevens."
"There was an error saving the data: ","Er is een fout opgetreden bij het opslaan van de gegevens: "
"A total of %1 record(s) have been deleted.","Er zijn in totaal %1 record(s) verwijderd."
"You saved this record.","Je hebt dit record opgeslagen."
"Something went wrong while saving the record.","Er is iets misgegaan tijdens het opslaan van het record."
"Category Identifier",Categorie-aanduiding
"To apply changes you should fill in required ""%1"" field","Om wijzigingen toe te passen, moet u het verplichte veld ""%1"" invullen"
"Size Edit","Grootte bewerken"
Size,Maat
"Size Identifier",Maataanduiding
"Usage Edit","Gebruik Bewerken"
Usage,Gebruik
"Usage Identifier","Identificatiecode voor gebruik"
"Could not save the category: %1","Kon de categorie niet opslaan: %1"
"Category with id ""%1"" does not exist.","Categorie met id ""%1"" bestaat niet."
"Could not delete the Category: %1","Kon de categorie niet verwijderen: %1"
"Could not save the size: %1","Kon de grootte niet opslaan: %1"
"Size with id ""%1"" does not exist.","Grootte met id ""%1"" bestaat niet."
"Could not delete the Size: %1","Kon de grootte niet verwijderen: %1"
"The option type to get group instance is incorrect.","Het optietype om een groepsinstantie te krijgen is onjuist."
"Select type options required values rows.","Selecteer typeopties vereiste waarden rijen."
"usage_id should be specified","usage_id moet worden opgegeven"
"Could not remove custom option","Kon aangepaste optie niet verwijderen"
"Please specify date required option(s).","Geef de gewenste optie(s) op."
"Please specify time required option(s).","Geef de gewenste optie(s) op."
"Please specify product's required option(s).","Geef de gewenste optie(s) voor het product op."
"The option instance type in options group is incorrect.","Het type instantie van de optie in de optiegroep is onjuist."
"The product instance type in options group is incorrect.","Het type productinstantie in de optiegroep is onjuist."
"The configuration item option instance in options group is incorrect.","De instantie van de configuratieoptie in de optiegroep is onjuist."
"The configuration item instance in options group is incorrect.","De instantie van het configuratie-item in de optiegroep is onjuist."
"The BuyRequest instance in options group is incorrect.","De BuyRequest-instantie in de optiegroep is onjuist."
"We can't add the product to the cart because of an option validation issue.","We kunnen het product niet toevoegen aan de winkelwagen vanwege een probleem met de validatie van een optie."
"%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType","%1 komt niet overeen met \Magento\Catalog\Model\ProductProductopties\Type\DefaultType"
"The file options format is not valid.","Het formaat van de bestandsopties is ongeldig."
px.,px.
"The file '%1' for '%2' has an invalid extension.","Het bestand '%1' voor '%2' heeft een ongeldige extensie."
"The maximum allowed image size for '%1' is %2x%3 px.","De maximaal toegestane afbeeldingsgrootte voor '%1' is %2x%3 px."
"The file '%1' you uploaded is larger than the %2 megabytes allowed by our server.","Het bestand '%1' dat u hebt geüpload is groter dan de toegestane %2 megabytes van onze server."
"The file '%1' is empty. Please choose another one","Het bestand '%1' is leeg. Kies een ander"
"The file '%1' is invalid. Please choose another one","Het bestand '%1' is ongeldig. Kies een ander"
