Back,Powrót
Delete,Usuń
"Are you sure you want to do this?","Czy na pewno chcesz to zrobić?"
"Save and Continue Edit","Zapisz i kontynuuj edycję"
Save,Zapisz
ID,ID
Email,E-mail
Name,Nazwa
Company,Firma
Conditions,Warunki
"Apply the rule only if the following conditions are met (leave blank for all products).","Zastosuj regułę tylko wtedy, gdy spełnione są następujące warunki (pozostaw puste dla wszystkich produktów)."
"Add Custom License","Dodaj licencję niestandardową"
"-- Please Select --","-- Wybierz --"
"Unable to fetch previous categories.","Nie można pobrać poprzednich kategorii."
AM,AM
PM,PM
None,Brak
"You deleted the record.","Usunąłeś rekord."
"Record does not exist.","Rekord nie istnieje."
"This record no longer exists.","Ten rekord już nie istnieje."
"Category Edit","Edycja kategorii"
Category,Kategoria
"Please correct the data sent.","Prosimy o poprawienie przesłanych danych."
"There was an error saving the data: ","Wystąpił błąd podczas zapisywania danych: "
"A total of %1 record(s) have been deleted.","Łącznie usunięto %1 rekordów."
"You saved this record.","Zapisałeś ten rekord."
"Something went wrong while saving the record.","Coś poszło nie tak podczas zapisywania rekordu."
"Category Identifier","Identyfikator kategorii"
"To apply changes you should fill in required ""%1"" field","Aby zastosować zmiany należy wypełnić wymagane pole ""%1"""
"Size Edit","Edycja rozmiaru"
Size,Rozmiar
"Size Identifier","Identyfikator rozmiaru"
"Usage Edit","Edycja użycia"
Usage,Użycie
"Usage Identifier","Identyfikator użycia"
"Could not save the category: %1","Nie można zapisać kategorii: %1"
"Category with id ""%1"" does not exist.","Kategoria o id ""%1"" nie istnieje."
"Could not delete the Category: %1","Nie można usunąć kategorii: %1"
"Could not save the size: %1","Nie można zapisać rozmiaru: %1"
"Size with id ""%1"" does not exist.","Rozmiar o id ""%1"" nie istnieje."
"Could not delete the Size: %1","Nie można usunąć rozmiaru: %1"
"The option type to get group instance is incorrect.","Typ opcji pobierania instancji grupy jest nieprawidłowy."
"Select type options required values rows.","Wybierz opcje typu wymaganych wartości wierszy."
"usage_id should be specified","należy określić usage_id"
"Could not remove custom option","Nie można usunąć opcji niestandardowej"
"Please specify date required option(s).","Prosimy o określenie daty wymaganych opcji."
