Back,Voltar
Delete,Excluir
"Are you sure you want to do this?","Tem certeza de que deseja fazer isso?"
"Save and Continue Edit","Salvar e continuar Editar"
Save,Salvar
ID,ID
Email,E-mail
Name,Nome
Company,Empresa
Conditions,Condições
"Apply the rule only if the following conditions are met (leave blank for all products).","Aplique a regra somente se as seguintes condições forem atendidas (deixe em branco para todos os produtos)."
"Add Custom License","Adicionar licença personalizada"
"-- Please Select --","-- Favor selecionar --"
"Unable to fetch previous categories.","Não é possível buscar categorias anteriores."
AM,AM
PM,PM
None,Nenhum
"You deleted the record.","Você excluiu o registro."
"Record does not exist.","O registro não existe."
"This record no longer exists.","Esse registro não existe mais."
"Category Edit","Categoria Editar"
Category,Categoria
"Please correct the data sent.","Por favor, corrija os dados enviados."
"There was an error saving the data: ","Ocorreu um erro ao salvar os dados: "
"A total of %1 record(s) have been deleted.","Um total de %1 registro(s) foi excluído."
"You saved this record.","Você salvou esse registro."
"Something went wrong while saving the record.","Algo deu errado ao salvar o registro."
"Category Identifier","Identificador de categoria"
"To apply changes you should fill in required ""%1"" field","Para aplicar as alterações, você deve preencher o campo obrigatório ""%1"""
"Size Edit","Tamanho Editar"
Size,Tamanho
"Size Identifier","Identificador de tamanho"
"Usage Edit","Uso Editar"
Usage,Uso
"Usage Identifier","Identificador de uso"
"Could not save the category: %1","Não foi possível salvar a categoria: %1"
"Category with id ""%1"" does not exist.","A categoria com id ""%1"" não existe."
"Could not delete the Category: %1","Não foi possível excluir a categoria: %1"
"Could not save the size: %1","Não foi possível salvar o tamanho: %1"
"Size with id ""%1"" does not exist.","O tamanho com id ""%1"" não existe."
"Could not delete the Size: %1","Não foi possível excluir o tamanho: %1"
"The option type to get group instance is incorrect.","O tipo de opção para obter a instância do grupo está incorreto."
"Select type options required values rows.","Selecione as opções de tipo e as linhas de valores necessários."
"usage_id should be specified","usage_id deve ser especificado"
"Could not remove custom option","Não foi possível remover a opção personalizada"
"Please specify date required option(s).","Especifique a(s) opção(ões) de data necessária(s)."
"Please specify time required option(s).","Especifique a(s) opção(ões) de tempo necessária(s)."
"Please specify product's required option(s).","Especifique a(s) opção(ões) necessária(s) do produto."
"The option instance type in options group is incorrect.","O tipo de instância da opção no grupo de opções está incorreto."
"The product instance type in options group is incorrect.","O tipo de instância do produto no grupo de opções está incorreto."
"The configuration item option instance in options group is incorrect.","A instância da opção do item de configuração no grupo de opções está incorreta."
"The configuration item instance in options group is incorrect.","A instância do item de configuração no grupo de opções está incorreta."
"The BuyRequest instance in options group is incorrect.","A instância BuyRequest no grupo de opções está incorreta."
"We can't add the product to the cart because of an option validation issue.","Não é possível adicionar o produto ao carrinho devido a um problema de validação de opção."
"%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType","%1 não estende \Magento\Catalog\Model\Product\Option\Type\DefaultType"
"The file options format is not valid.","O formato das opções de arquivo não é válido."
px.,px.
"The file '%1' for '%2' has an invalid extension.","O arquivo '%1' para '%2' tem uma extensão inválida."
"The maximum allowed image size for '%1' is %2x%3 px.","O tamanho máximo de imagem permitido para ""%1"" é de %2x%3 px."
"The file '%1' you uploaded is larger than the %2 megabytes allowed by our server.","O arquivo '%1' que você carregou é maior do que os %2 megabytes permitidos pelo nosso servidor."
"The file '%1' is empty. Please choose another one","O arquivo ""%1"" está vazio. Por favor, escolha outro"
"The file '%1' is invalid. Please choose another one","O arquivo ""%1"" é inválido. Por favor, escolha outro"
"File '%1' is not an image.","O arquivo '%1' não é uma imagem."
"Validation failed. Required options were not filled or the file was not uploaded.","A validação falhou. As opções obrigatórias não foram preenchidas ou o arquivo não foi carregado."
"The file you uploaded is larger than %1 Megabytes allowed by server","O arquivo que você carregou é maior do que %1 Megabytes permitidos pelo servidor"
"Option required.","Opção necessária."
"The file is empty. Please choose another one","O arquivo está vazio. Por favor, escolha outro"
"Some of the selected item options are not currently available.","Algumas das opções de itens selecionados não estão disponíveis no momento."
"Could not save the usageCustomer: %1","Não foi possível salvar o usageCustomer: %1"
"UsageCustomer with id ""%1"" does not exist.","UsoO cliente com id ""%1"" não existe."
"Could not delete the UsageCustomer: %1","Não foi possível excluir o UsageCustomer: %1"
"Could not save the usage: %1","Não foi possível salvar o uso: %1"
"Usage with id ""%1"" does not exist.","O uso com o id ""%1"" não existe."
"Could not delete the Usage: %1","Não foi possível excluir o uso: %1"
"Unable to attach licenses to customer %s","Não foi possível anexar licenças ao cliente %s"
