Back,Înapoi
Delete,Ștergeți
"Are you sure you want to do this?","Sunteți sigur că doriți să faceți acest lucru?"
"Save and Continue Edit","Salvare și continuare Editare"
Save,Salvați
ID,ID
Email,E-mail
Name,"Nume și prenume"
Company,Compania
Conditions,Condiții
"Apply the rule only if the following conditions are met (leave blank for all products).","Aplicați regula numai dacă sunt îndeplinite următoarele condiții (lăsați gol pentru toate produsele)."
"Add Custom License","Adăugați licență personalizată"
"-- Please Select --","-- Vă rugăm să selectați --"
"Unable to fetch previous categories.","Nu se pot extrage categoriile anterioare."
AM,AM
PM,PM
None,Niciuna
"You deleted the record.","Ați șters înregistrarea."
"Record does not exist.","Înregistrarea nu există."
"This record no longer exists.","Această înregistrare nu mai există."
"Category Edit","Categorie Editare"
Category,Categorie
"Please correct the data sent.","Vă rugăm să corectați datele trimise."
"There was an error saving the data: ","A existat o eroare la salvarea datelor: "
"A total of %1 record(s) have been deleted.","Un total de %1 înregistrare(uri) au fost șterse."
"You saved this record.","Ați salvat această înregistrare."
"Something went wrong while saving the record.","Ceva nu a mers bine în timpul salvării înregistrării."
"Category Identifier","Identificatorul categoriei"
"To apply changes you should fill in required ""%1"" field","Pentru a aplica modificările, trebuie să completați câmpul obligatoriu ""%1"""
"Size Edit","Dimensiune Editare"
Size,Mărime
"Size Identifier","Identificator de dimensiune"
"Usage Edit","Utilizare Editare"
Usage,Utilizare
"Usage Identifier","Identificator de utilizare"
"Could not save the category: %1","Nu s-a putut salva categoria: %1"
"Category with id ""%1"" does not exist.","Categoria cu id-ul ""%1"" nu există."
"Could not delete the Category: %1","Nu s-a putut șterge categoria: %1"
"Could not save the size: %1","Nu s-a putut salva dimensiunea: %1"
"Size with id ""%1"" does not exist.","Mărimea cu id ""%1"" nu există."
"Could not delete the Size: %1","Nu s-a putut șterge dimensiunea: %1"
"The option type to get group instance is incorrect.","Tipul de opțiune pentru a obține instanța grupului este incorect."
"Select type options required values rows.","Selectați tipul opțiuni valori necesare rânduri."
"usage_id should be specified","usage_id ar trebui specificat"
"Could not remove custom option","Nu s-a putut elimina opțiunea personalizată"
"Please specify date required option(s).","Vă rugăm să specificați data opțiunii (opțiunilor) solicitate."
"Please specify time required option(s).","Vă rugăm să specificați opțiunea (opțiunile) de timp necesară (necesare)."
"Please specify product's required option(s).","Vă rugăm să specificați opțiunea (opțiunile) necesară(e) pentru produs."
"The option instance type in options group is incorrect.","Tipul instanței opțiunii din grupul de opțiuni este incorect."
"The product instance type in options group is incorrect.","Tipul instanței produsului în grupul de opțiuni este incorect."
"The configuration item option instance in options group is incorrect.","Instanța opțiunii elementului de configurare din grupul de opțiuni este incorectă."
"The configuration item instance in options group is incorrect.","Instanța elementului de configurare din grupul de opțiuni este incorectă."
"The BuyRequest instance in options group is incorrect.","Instanța BuyRequest din grupul de opțiuni este incorectă."
"We can't add the product to the cart because of an option validation issue.","Nu putem adăuga produsul în coș din cauza unei probleme de validare a opțiunii."
