Back,Назад
Delete,Удалить
"Are you sure you want to do this?","Вы уверены, что хотите это сделать?"
"Save and Continue Edit","Сохранить и продолжить редактирование"
Save,Сохранить
ID,ID
Email,"Электронная почта"
Name,Имя
Company,Компания
Conditions,Условия
"Apply the rule only if the following conditions are met (leave blank for all products).","Применяйте правило только при выполнении следующих условий (оставьте пустым для всех продуктов)."
"Add Custom License","Добавить пользовательскую лицензию"
"-- Please Select --","-- Пожалуйста, выберите.."
"Unable to fetch previous categories.","Невозможно получить предыдущие категории."
AM,AM
PM,PM
None,Нет
"You deleted the record.","Вы удалили запись."
"Record does not exist.","Запись не существует."
"This record no longer exists.","Эта запись больше не существует."
"Category Edit","Категория Редактировать"
Category,Категория
"Please correct the data sent.","Пожалуйста, исправьте отправленные данные."
"There was an error saving the data: ","Произошла ошибка при сохранении данных: "
"A total of %1 record(s) have been deleted.","Всего было удалено %1 запись(и)."
"You saved this record.","Вы сохранили эту запись."
"Something went wrong while saving the record.","При сохранении записи что-то пошло не так."
"Category Identifier","Идентификатор категории"
"To apply changes you should fill in required ""%1"" field","Чтобы применить изменения, необходимо заполнить обязательное поле ""%1"""
"Size Edit","Редактировать размер"
Size,Размер
"Size Identifier","Идентификатор размера"
"Usage Edit","Использование Редактировать"
Usage,Использование
"Usage Identifier","Идентификатор использования"
"Could not save the category: %1","Не удалось сохранить категорию: %1"
"Category with id ""%1"" does not exist.","Категория с id ""%1"" не существует."
"Could not delete the Category: %1","Не удалось удалить категорию: %1"
"Could not save the size: %1","Не удалось сохранить размер: %1"
"Size with id ""%1"" does not exist.","Размер с идентификатором ""%1"" не существует."
"Could not delete the Size: %1","Не удалось удалить Размер: %1"
"The option type to get group instance is incorrect.","Тип опции для получения экземпляра группы неверен."
"Select type options required values rows.","Выберите тип опций, необходимые значения строк."
"usage_id should be specified","необходимо указать идентификатор использования"
"Could not remove custom option","Не удалось удалить пользовательскую опцию"
"Please specify date required option(s).","Пожалуйста, укажите требуемую дату."
"Please specify time required option(s).","Пожалуйста, укажите требуемое время."
"Please specify product's required option(s).","Пожалуйста, укажите необходимые опции продукта."
"The option instance type in options group is incorrect.","Тип экземпляра опции в группе опций неверен."
"The product instance type in options group is incorrect.","Тип экземпляра продукта в группе опций указан неверно."
"The configuration item option instance in options group is incorrect.","Неверно указан экземпляр элемента конфигурации в группе опций."
"The configuration item instance in options group is incorrect.","Неверно указан экземпляр элемента конфигурации в группе опций."
"The BuyRequest instance in options group is incorrect.","Экземпляр BuyRequest в группе опций неверен."
"We can't add the product to the cart because of an option validation issue.","Мы не можем добавить товар в корзину из-за проблемы с проверкой опций."
"%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType","%1 не расширяет \Magento\Catalog\Model\Product\Option\Type\DefaultType"
"The file options format is not valid.","Формат параметров файла не соответствует действительности."
px.,px.
"The file '%1' for '%2' has an invalid extension.","Файл '%1' для '%2' имеет недопустимое расширение."
"The maximum allowed image size for '%1' is %2x%3 px.","Максимально допустимый размер изображения для '%1' составляет %2x%3 px."
"The file '%1' you uploaded is larger than the %2 megabytes allowed by our server.","Размер загруженного вами файла '%1' превышает %2 мегабайта, разрешенных нашим сервером."
"The file '%1' is empty. Please choose another one","Файл '%1' пуст. Пожалуйста, выберите другой"
"The file '%1' is invalid. Please choose another one","Файл '%1' недействителен. Пожалуйста, выберите другой"
"File '%1' is not an image.","Файл '%1' не является изображением."
"Validation failed. Required options were not filled or the file was not uploaded.","Валидация не удалась. Не заполнены необходимые параметры или файл не был загружен."
"The file you uploaded is larger than %1 Megabytes allowed by server","Размер загруженного вами файла превышает %1 мегабайт, разрешенный сервером"
"Option required.","Требуется опция."
"The file is empty. Please choose another one","Файл пуст. Пожалуйста, выберите другой"
