Back,ย้อนกลับ
Delete,ลบ
"Are you sure you want to do this?",คุณแน่ใจหรือไม่ว่าต้องการทําเช่นนี้?
"Save and Continue Edit",บันทึกและแก้ไขต่อ
Save,ประหยัด
ID,รหัส
Email,อีเมล
Name,ชื่อ
Company,บริษัท
Conditions,เงื่อนไข
"Apply the rule only if the following conditions are met (leave blank for all products).","ใช้กฎเฉพาะเมื่อตรงตามเงื่อนไขต่อไปนี้ (เว้นว่างไว้สําหรับผลิตภัณฑ์ทั้งหมด)"
"Add Custom License",เพิ่มสิทธิ์การใช้งานแบบกําหนดเอง
"-- Please Select --","-- กรุณาเลือก --"
"Unable to fetch previous categories.",ไม่สามารถดึงข้อมูลหมวดหมู่ก่อนหน้าได้
AM,AM
PM,นายกรัฐมนตรี
None,ไม่มีใคร
"You deleted the record.",คุณลบระเบียน
"Record does not exist.",ไม่มีบันทึก
"This record no longer exists.",บันทึกนี้ไม่มีอยู่อีกต่อไป
"Category Edit",แก้ไขหมวดหมู่
Category,ประเภท
"Please correct the data sent.",โปรดแก้ไขข้อมูลที่ส่ง
"There was an error saving the data: ","มีข้อผิดพลาดในการบันทึกข้อมูล: "
"A total of %1 record(s) have been deleted.","ระเบียนทั้งหมด %1 ถูกลบ"
"You saved this record.",คุณบันทึกบันทึกนี้
"Something went wrong while saving the record.",มีบางอย่างผิดพลาดขณะบันทึกบันทึก
"Category Identifier",ตัวระบุหมวดหมู่
"To apply changes you should fill in required ""%1"" field","หากต้องการใช้การเปลี่ยนแปลง คุณควรกรอกข้อมูลในช่อง ""%1"" ที่จําเป็น"
"Size Edit","ขนาด แก้ไข"
Size,ขนาด
"Size Identifier",ตัวระบุขนาด
"Usage Edit","การใช้งาน แก้ไข"
Usage,การใช้
"Usage Identifier",ตัวระบุการใช้งาน
"Could not save the category: %1","ไม่สามารถบันทึกหมวดหมู่: %1"
"Category with id ""%1"" does not exist.","ไม่มีหมวดหมู่ที่มีรหัส ""%1"""
"Could not delete the Category: %1","ไม่สามารถลบหมวดหมู่: %1"
"Could not save the size: %1","ไม่สามารถบันทึกขนาด: %1"
"Size with id ""%1"" does not exist.","ขนาดที่มีรหัส ""%1"" ไม่มีอยู่"
"Could not delete the Size: %1","ไม่สามารถลบขนาด: %1"
"The option type to get group instance is incorrect.",ประเภทตัวเลือกในการรับอินสแตนซ์กลุ่มไม่ถูกต้อง
"Select type options required values rows.","เลือกประเภทตัวเลือก ลําดับ ค่าที่จําเป็น แถว"
"usage_id should be specified","ควรระบุ usage_id"
"Could not remove custom option",ไม่สามารถลบตัวเลือกที่กําหนดเองได้
"Please specify date required option(s).",โปรดระบุตัวเลือกวันที่ที่ต้องการ
"Please specify time required option(s).",โปรดระบุตัวเลือกเวลาที่ต้องการ
"Please specify product's required option(s).",โปรดระบุตัวเลือกที่ต้องการของผลิตภัณฑ์
"The option instance type in options group is incorrect.",ชนิดอินสแตนซ์ตัวเลือกในกลุ่มตัวเลือกไม่ถูกต้อง
"The product instance type in options group is incorrect.",ชนิดอินสแตนซ์ของผลิตภัณฑ์ในกลุ่มตัวเลือกไม่ถูกต้อง
"The configuration item option instance in options group is incorrect.",อินสแตนซ์ตัวเลือกรายการการตั้งค่าคอนฟิกในกลุ่มตัวเลือกไม่ถูกต้อง
"The configuration item instance in options group is incorrect.",อินสแตนซ์รายการการตั้งค่าคอนฟิกในกลุ่มตัวเลือกไม่ถูกต้อง
"The BuyRequest instance in options group is incorrect.","อินสแตนซ์ BuyRequest ในกลุ่มตัวเลือกไม่ถูกต้อง"
"We can't add the product to the cart because of an option validation issue.",เราไม่สามารถเพิ่มสินค้าลงในตะกร้าสินค้าได้เนื่องจากปัญหาการตรวจสอบตัวเลือก
"%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType","%1 ไม่ขยาย \Magento\Catalog\Model\Product\Option\Type\DefaultType"
"The file options format is not valid.",รูปแบบตัวเลือกไฟล์ไม่ถูกต้อง
px.,พิกเซล
"The file '%1' for '%2' has an invalid extension.","ไฟล์ '%1' สําหรับ '%2' มีนามสกุลไม่ถูกต้อง"
"The maximum allowed image size for '%1' is %2x%3 px.","ขนาดรูปภาพสูงสุดที่อนุญาตสําหรับ '%1' คือ %2x%3 px"
