Back,Geri
Delete,Silme
"Are you sure you want to do this?","Bunu yapmak istediğine emin misin?"
"Save and Continue Edit","Kaydet ve Düzenlemeye Devam Et"
Save,Kaydet
ID,KIMLIK
Email,E-posta
Name,İsim
Company,Şirket
Conditions,Koşullar
"Apply the rule only if the following conditions are met (leave blank for all products).","Kuralı yalnızca aşağıdaki koşullar karşılandığında uygulayın (tüm ürünler için boş bırakın)."
"Add Custom License","Özel Lisans Ekleme"
"-- Please Select --","-- Lütfen Seçiniz --"
"Unable to fetch previous categories.","Önceki kategoriler getirilemiyor."
AM,AM
PM,BAŞBAKAN
None,Hiçbiri
"You deleted the record.","Kaydı sildiniz."
"Record does not exist.","Kayıt mevcut değil."
"This record no longer exists.","Bu kayıt artık mevcut değildir."
"Category Edit","Kategori Düzenleme"
Category,Kategori
"Please correct the data sent.","Lütfen gönderilen verileri düzeltin."
"There was an error saving the data: ","Verilerin kaydedilmesinde bir hata oluştu: "
"A total of %1 record(s) have been deleted.","Toplam %1 kayıt(lar) silindi."
"You saved this record.","Bu kaydı kaydetmişsiniz."
"Something went wrong while saving the record.","Kayıt kaydedilirken bir şeyler ters gitti."
"Category Identifier","Kategori Tanımlayıcı"
"To apply changes you should fill in required ""%1"" field","Değişiklikleri uygulamak için gerekli ""%1"" alanını doldurmalısınız"
"Size Edit","Boyut Düzenleme"
Size,Boyut
"Size Identifier","Boyut Tanımlayıcı"
"Usage Edit","Kullanım Düzenlemesi"
Usage,Kullanım
"Usage Identifier","Kullanım Tanımlayıcısı"
"Could not save the category: %1","Kategori kaydedilemedi: %1"
"Category with id ""%1"" does not exist.","""%1"" kimliğine sahip kategori mevcut değil."
"Could not delete the Category: %1","Kategori silinemedi: %1"
"Could not save the size: %1","Boyut kaydedilemedi: %1"
"Size with id ""%1"" does not exist.","""%1"" kimliğine sahip boyut mevcut değil."
"Could not delete the Size: %1","Boyut: %1 silinemedi"
"The option type to get group instance is incorrect.","Grup örneğini almak için seçenek türü yanlış."
"Select type options required values rows.","Tür seçeneklerini seçin gerekli değerler satırlar."
"usage_id should be specified","usage_id belirtilmelidir"
"Could not remove custom option","Özel seçenek kaldırılamadı"
"Please specify date required option(s).","Lütfen gerekli tarih seçenek(ler)ini belirtiniz."
