Back,Назад
Delete,Видалити
"Are you sure you want to do this?","Ви впевнені, що хочете це зробити?"
"Save and Continue Edit","Зберегти та продовжити редагування"
Save,Зберегти
ID,ІДЕНТИФІКАТОР
Email,"Електронна пошта"
Name,Ім'я
Company,Компанія
Conditions,Умови
"Apply the rule only if the following conditions are met (leave blank for all products).","Застосовуйте правило, тільки якщо виконуються наступні умови (залиште порожнім для всіх продуктів)."
"Add Custom License","Додати користувацьку ліцензію"
"-- Please Select --","-- Будь ласка, виберіть --"
"Unable to fetch previous categories.","Не вдається отримати попередні категорії."
AM,AM
PM,ПРЕМ'ЄР-МІНІСТР
None,Ні
"You deleted the record.","Ви видалили запис."
"Record does not exist.","Запис не існує."
"This record no longer exists.","Цей запис більше не існує."
"Category Edit","Редагування категорії"
Category,Категорія
"Please correct the data sent.","Будь ласка, виправте надіслані дані."
"There was an error saving the data: ","Виникла помилка при збереженні даних: "
"A total of %1 record(s) have been deleted.","Всього було видалено %1 записів."
"You saved this record.","Ви зберегли цей запис."
"Something went wrong while saving the record.","Під час збереження запису щось пішло не так."
"Category Identifier","Ідентифікатор категорії"
"To apply changes you should fill in required ""%1"" field","Для застосування змін необхідно заповнити обов'язкове поле ""%1"""
"Size Edit","Редагування розміру"
Size,Розмір
"Size Identifier","Ідентифікатор розміру"
"Usage Edit","Редагування використання"
Usage,Використання
"Usage Identifier","Ідентифікатор використання"
"Could not save the category: %1","Не вдалося зберегти категорію: %1"
"Category with id ""%1"" does not exist.","Категорія з ідентифікатором ""%1"" не існує."
"Could not delete the Category: %1","Не вдалося видалити категорію: %1"
"Could not save the size: %1","Не вдалося зберегти розмір: %1"
"Size with id ""%1"" does not exist.","Розмір з ідентифікатором ""%1"" не існує."
"Could not delete the Size: %1","Не вдалося видалити Розмір: %1"
"The option type to get group instance is incorrect.","Тип опції для отримання екземпляра групи вказано невірно."
"Select type options required values rows.","Виберіть опції типу необхідних рядків значень."
"usage_id should be specified","має бути вказано usage_id"
"Could not remove custom option","Не вдалося видалити користувацьку опцію"
"Please specify date required option(s).","Будь ласка, вкажіть дату необхідної опції (опцій)."
"Please specify time required option(s).","Будь ласка, вкажіть необхідний час."
"Please specify product's required option(s).","Будь ласка, вкажіть необхідну(і) опцію(ї) товару."
"The option instance type in options group is incorrect.","Тип екземпляра опції у групі опцій вказано невірно."
"The product instance type in options group is incorrect.","Тип екземпляра товару в групі опцій вказано невірно."
"The configuration item option instance in options group is incorrect.","Екземпляр опції елемента конфігурації у групі опцій вказано невірно."
"The configuration item instance in options group is incorrect.","Екземпляр елемента конфігурації у групі параметрів вказано невірно."
"The BuyRequest instance in options group is incorrect.","Екземпляр BuyRequest у групі опцій є некоректним."
"We can't add the product to the cart because of an option validation issue.","Ми не можемо додати товар до кошика через проблему з валідацією опції."
"%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType","%1 не розширює \Magento\Catalog\Model\Product\Option\Type\DefaultType"
"The file options format is not valid.","Формат параметрів файлу не є правильним."
px.,px.
"The file '%1' for '%2' has an invalid extension.","Файл '%1' для '%2' має невірне розширення."
"The maximum allowed image size for '%1' is %2x%3 px.","Максимально допустимий розмір зображення для '%1' - %2x%3 px."
"The file '%1' you uploaded is larger than the %2 megabytes allowed by our server.","Завантажений вами файл '%1' більший за %2 мегабайти, дозволених нашим сервером."
"The file '%1' is empty. Please choose another one","Файл '%1' порожній. Будь ласка, виберіть інший"
"The file '%1' is invalid. Please choose another one","Файл '%1' є недійсним. Будь ласка, виберіть інший"
"File '%1' is not an image.","Файл '%1' не є зображенням."
"Validation failed. Required options were not filled or the file was not uploaded.","Валідація не пройшла. Не заповнені необхідні опції або не завантажено файл."
"The file you uploaded is larger than %1 Megabytes allowed by server","Розмір завантаженого вами файлу перевищує %1 мегабайт, дозволений сервером"
"Option required.","Потрібен вибір."
"The file is empty. Please choose another one","Файл порожній. Будь ласка, виберіть інший"
"Some of the selected item options are not currently available.","Деякі з вибраних опцій наразі недоступні."
"Could not save the usageCustomer: %1","Не вдалося зберегти використанняCustomer: %1"
"UsageCustomer with id ""%1"" does not exist.","UsageCustomer з ідентифікатором ""%1"" не існує."
"Could not delete the UsageCustomer: %1","Не вдалося видалити UsageCustomer: %1"
"Could not save the usage: %1","Не вдалося зберегти використання: %1"
"Usage with id ""%1"" does not exist.","Використання з ідентифікатором ""%1"" не існує."
"Could not delete the Usage: %1","Не вдалося видалити використання: %1"
"Unable to attach licenses to customer %s","Не вдається прикріпити ліцензії до клієнтів %s"
"You cannot add this item to your cart because this
                                custom license can only be used %1 time(s)","Ви не можете додати цей товар до кошика, оскільки ця
                                користувацька ліцензія може бути використана лише %1 раз(и)"
"Max Usage","Максимальне використання"
"Usage Options","Варіанти використання"
Preview.,"Попередній перегляд."
"Usage options provide more details about how an image will be used.","Параметри використання надають більш детальну інформацію про те, як буде використано зображення."
"Add Option","Додати опцію"
"New Option","Нова опція"
"Option Title","Назва опції"
"Help Text","Текст довідки"
"Add Value","Додайте цінності"
Title,Назва
"Option Type","Тип опції"
"-- Please select --","-- Будь ласка, виберіть --"
Required,Потрібно
Price,Ціна
"Price Type","Тип ціни"
"Image Size","Розмір зображення"
Edit,Редагувати
"Only Custom Usages are supported","Підтримуються лише користувацькі використання"
